ds,y
2019-01-01,100.74507122951685
2019-01-02,102.33011374982992
2019-01-03,104.2802971498326
2019-01-04,104.1620396706588
2019-01-05,99.11467280537371
2019-01-06,97.68307187064408
2019-01-07,101.17363856628879
2019-01-08,102.49241374555287
2019-01-09,103.17313690906767
2019-01-10,105.46066427755132
2019-01-11,102.51829527423598
2019-01-12,100.10074832840992
2019-01-13,99.72782081049853
2019-01-14,97.26230676117405
2019-01-15,100.07774900317122
2019-01-16,104.35388728477635
2019-01-17,104.44330444075518
2019-01-18,104.99592862334076
2019-01-19,100.74350500045715
2019-01-20,98.54733725330429
2019-01-21,103.62598939734009
2019-01-22,103.61578226201107
2019-01-23,106.58162358890979
2019-01-24,105.10179505176855
2019-01-25,104.97736698503992
2019-01-26,103.53399148049941
2019-01-27,100.19371991866086
2019-01-28,103.23750197419334
2019-01-29,104.29162119079672
2019-01-30,107.27229202526118
2019-01-31,107.55690523497375
2019-02-01,109.7836328734912
2019-02-02,104.54904597903176
2019-02-03,101.52542363742681
2019-02-04,105.08933634820993
2019-02-05,104.53235385585799
2019-02-06,109.1833391180022
2019-02-07,106.66904011657563
2019-02-08,106.15058714294045
2019-02-09,105.9905095391165
2019-02-10,105.33359926831508
2019-02-11,105.21417607213799
2019-02-12,107.27916232607403
2019-02-13,109.49453352056632
2019-02-14,108.45376055444589
2019-02-15,108.1126779104162
2019-02-16,106.0401481459458
2019-02-17,106.83351685722029
2019-02-18,106.480269728278
2019-02-19,105.80132091228003
2019-02-20,111.41083667646976
2019-02-21,111.05746890851017
2019-02-22,109.12539344106091
2019-02-23,108.58149718502412
2019-02-24,107.71151885698137
2019-02-25,108.26302815205582
2019-02-26,108.07217489329494
2019-02-27,111.32964605174851
2019-02-28,112.9841595797293
2019-03-01,112.43947370285103
2019-03-02,107.76360265879833
2019-03-03,106.68771332127088
2019-03-04,105.99039302017316
2019-03-05,108.30289353749897
2019-03-06,113.76068512896425
2019-03-07,115.25210569493196
2019-03-08,111.58049675596017
2019-03-09,110.68172462595197
2019-03-10,108.1842584691284
2019-03-11,107.33920138286776
2019-03-12,111.27751231944181
2019-03-13,115.46824915663366
2019-03-14,113.76424514701186
2019-03-15,114.61652042569953
2019-03-16,105.80852456495349
2019-03-17,109.41692427559235
2019-03-18,108.96014781309653
2019-03-19,110.78992094397415
2019-03-20,113.78205797135726
2019-03-21,111.29996120946078
2019-03-22,112.38338968331352
2019-03-23,110.69707608490532
2019-03-24,110.8040152034769
2019-03-25,108.43503625485616
2019-03-26,110.3882448235779
2019-03-27,113.2339575290497
2019-03-28,115.97615724819919
2019-03-29,113.50727309261566
2019-03-30,109.64747754166824
2019-03-31,109.6172059738043
2019-04-01,109.5975731135437
2019-04-02,113.27282299230649
2019-04-03,113.13171546455011
2019-04-04,114.28907737212778
2019-04-05,112.58280412650302
2019-04-06,108.38296378360513
2019-04-07,109.40690317726532
2019-04-08,109.93826448860302
2019-04-09,111.9015707332226
2019-04-10,113.88629921512863
2019-04-11,112.69026468767574
2019-04-12,112.55214571662057
2019-04-13,110.05574674507868
2019-04-14,107.73036806058079
2019-04-15,109.25534309596624
2019-04-16,112.43015184644179
2019-04-17,116.97728080038661
2019-04-18,114.96472468716055
2019-04-19,113.43876570377795
2019-04-20,110.3073454095765
2019-04-21,105.88477830490544
2019-04-22,109.26669939898795
2019-04-23,111.7037646995553
2019-04-24,117.61245798025395
2019-04-25,114.16426803265888
2019-04-26,113.23518671369746
2019-04-27,110.07796748141611
2019-04-28,106.70166113624923
2019-04-29,110.693302357274
2019-04-30,112.39491002732305
2019-05-01,114.73887093227009
2019-05-02,112.70474312240297
2019-05-03,114.48451367159417
2019-05-04,107.60631727435586
2019-05-05,108.8957907850723
2019-05-06,111.80751813165578
2019-05-07,109.30608888476645
2019-05-08,112.21005767124913
2019-05-09,113.70796822720044
2019-05-10,111.09745366405035
2019-05-11,106.83831929691416
2019-05-12,107.55664845373339
2019-05-13,106.34996388634798
2019-05-14,110.90736528988192
2019-05-15,111.0691671669232
2019-05-16,115.25613031325672
2019-05-17,110.03469005173251
2019-05-18,108.02252206411495
2019-05-19,108.0000131105978
2019-05-20,105.4079305688496
2019-05-21,109.83409379731874
2019-05-22,113.69031434080708
2019-05-23,109.78692408874856
2019-05-24,110.73932291499482
2019-05-25,108.13438510497636
2019-05-26,107.17782924181522
2019-05-27,104.61084035860172
2019-05-28,106.71121468749335
2019-05-29,111.6987430581131
2019-05-30,111.8173734750812
2019-05-31,109.99966188134593
2019-06-01,107.41387619942466
2019-06-02,104.12308637887985
2019-06-03,105.94135755276052
2019-06-04,108.24720080281082
2019-06-05,108.94928108110706
2019-06-06,113.26512702293334
2019-06-07,109.41914143061963
2019-06-08,104.18193108371368
2019-06-09,105.19316456405443
2019-06-10,103.18701148450036
2019-06-11,108.03544303044269
2019-06-12,110.79741602775793
2019-06-13,108.2659725370348
2019-06-14,109.17613161850869
2019-06-15,105.6032083466893
2019-06-16,104.44938313026545
2019-06-17,106.4953253046174
2019-06-18,105.48131591153336
2019-06-19,106.91731944095852
2019-06-20,107.14528524257449
2019-06-21,105.48441521870623
2019-06-22,103.84029409443993
2019-06-23,102.69512269225147
2019-06-24,103.0278130862962
2019-06-25,106.04870163212153
2019-06-26,107.02219243108037
2019-06-27,109.61121187109347
2019-06-28,105.25943896673193
2019-06-29,106.98178632607501
2019-06-30,102.06512746284176
2019-07-01,100.26827220037357
2019-07-02,102.14117433054349
2019-07-03,106.66469442828782
2019-07-04,106.03307828610438
2019-07-05,105.6642080430579
2019-07-06,102.5479495262199
2019-07-07,99.95407713032162
2019-07-08,99.22100163853938
2019-07-09,100.4132714764821
2019-07-10,104.21044385091675
2019-07-11,106.59365769391255
2019-07-12,103.85704638759807
2019-07-13,98.91444912270903
2019-07-14,99.27067545175468
2019-07-15,100.01972406636733
2019-07-16,100.31363613348309
2019-07-17,104.06835909734976
2019-07-18,104.35795282910289
2019-07-19,100.78740437661894
2019-07-20,100.29041360530175
2019-07-21,98.82782337057185
2019-07-22,100.04747914613789
2019-07-23,102.20703433808848
2019-07-24,100.7642722645842
2019-07-25,101.86334238979659
2019-07-26,102.28062575255547
2019-07-27,99.53773285547321
2019-07-28,97.77998121308681
2019-07-29,103.23053555845283
2019-07-30,100.51930490572633
2019-07-31,103.57919099759867
2019-08-01,103.75490116539551
2019-08-02,101.5480520674261
2019-08-03,97.36643490259377
2019-08-04,97.22785681063515
2019-08-05,95.38421533395521
2019-08-06,98.41008771556206
2019-08-07,100.26078241263335
2019-08-08,101.57063754755146
2019-08-09,103.17812415216648
2019-08-10,94.18515273076217
2019-08-11,96.277339583933
2019-08-12,93.29505066376792
2019-08-13,97.24050097804653
2019-08-14,101.81803178424535
2019-08-15,100.75299893532633
2019-08-16,97.31152168836473
2019-08-17,95.14861914396727
2019-08-18,95.51665939402992
2019-08-19,93.88194084775597
2019-08-20,97.55076524841373
2019-08-21,99.5452096732703
2019-08-22,98.98624271124527
2019-08-23,101.46618409563463
2019-08-24,96.50988914929515
2019-08-25,90.81252909180213
2019-08-26,94.62592965366656
2019-08-27,95.61816046118656
2019-08-28,100.15649360486476
2019-08-29,98.1923013936669
2019-08-30,97.51226396485957
2019-08-31,95.76746248342342
2019-09-01,94.6169208906812
2019-09-02,92.03112171932655
2019-09-03,95.61187320462854
2019-09-04,97.68586584983268
2019-09-05,97.93936751792042
2019-09-06,99.8888455634725
2019-09-07,95.19193914544088
2019-09-08,91.01980396500853
2019-09-09,94.81971974353102
2019-09-10,98.92689497583622
2019-09-11,99.59584336488089
2019-09-12,96.30813944661983
2019-09-13,96.20125721561446
2019-09-14,96.19102258425877
2019-09-15,91.5751885107497
2019-09-16,93.85371494765371
2019-09-17,96.67028378216662
2019-09-18,96.44114589319946
2019-09-19,98.30213182168494
2019-09-20,91.88986146983972
2019-09-21,92.59825071217666
2019-09-22,92.12212649344528
2019-09-23,91.20078832970718
2019-09-24,97.86169385428185
2019-09-25,95.6114102451062
2019-09-26,97.67683395040675
2019-09-27,96.91381184509461
2019-09-28,96.2831897891454
2019-09-29,90.35418779588143
2019-09-30,94.84480500990853
2019-10-01,95.47665000791082
2019-10-02,96.35323725058525
2019-10-03,99.11960925023934
2019-10-04,97.12653425217293
2019-10-05,93.35189744606946
2019-10-06,92.76432891315096
2019-10-07,92.69443216027997
2019-10-08,95.82460844817051
2019-10-09,99.03240139984054
2019-10-10,101.03983576041097
2019-10-11,95.22620137276198
2019-10-12,97.72734212641674
2019-10-13,90.0276126623043
2019-10-14,93.36134656424052
2019-10-15,96.87388070135265
2019-10-16,98.81815814419278
2019-10-17,98.10455435281361
2019-10-18,97.16879211683538
2019-10-19,94.20652294742595
2019-10-20,92.51002859135713
2019-10-21,95.32176951666355
2019-10-22,97.00518688149639
2019-10-23,97.85538121099758
2019-10-24,100.90578924713728
2019-10-25,98.479309322377
2019-10-26,96.72218323113036
2019-10-27,94.91474249061487
2019-10-28,93.39932606765116
2019-10-29,96.24393824146453
2019-10-30,100.64918567125336
2019-10-31,101.1242519677973
2019-11-01,98.65797066183168
2019-11-02,96.3683428951093
2019-11-03,96.594594499668
2019-11-04,94.48142756947612
2019-11-05,98.64881668586332
2019-11-06,99.98673311919721
2019-11-07,100.66158362724863
2019-11-08,101.13434000999442
2019-11-09,98.24457646667756
2019-11-10,96.72951069977769
2019-11-11,98.17499639785952
2019-11-12,98.72430484888503
2019-11-13,102.19400053582461
2019-11-14,101.4199554986239
2019-11-15,100.88565160004379
2019-11-16,97.74021302840485
2019-11-17,96.59923071689663
2019-11-18,98.06928104409542
2019-11-19,98.44026959324022
2019-11-20,105.29924070570371
2019-11-21,101.38045404922792
2019-11-22,99.59652370642449
2019-11-23,100.70501860679319
2019-11-24,98.68741154640786
2019-11-25,99.17239386358457
2019-11-26,101.68300326531944
2019-11-27,103.22811371200604
2019-11-28,102.64208245455625
2019-11-29,102.64237353360706
2019-11-30,99.07505868727367
2019-12-01,100.0973440804665
2019-12-02,99.16187869587327
2019-12-03,100.65969572584768
2019-12-04,103.93276643615022
2019-12-05,105.78632301963009
2019-12-06,102.87233474710096
2019-12-07,100.05670810334108
2019-12-08,100.20910185648484
2019-12-09,100.968173993807
2019-12-10,102.36481986281267
2019-12-11,104.94429283332796
2019-12-12,106.75939350013157
2019-12-13,102.79824867510767
2019-12-14,100.43902830841996
2019-12-15,100.0334901620651
2019-12-16,101.55520537499851
2019-12-17,104.87297868864277
2019-12-18,109.15166032700239
2019-12-19,108.99163708886837
2019-12-20,106.03000836594396
2019-12-21,103.82660941840227
2019-12-22,100.91729627845503
2019-12-23,103.16221809899899
2019-12-24,105.29257136474031
2019-12-25,108.74562723951323
2019-12-26,107.79085600465338
2019-12-27,108.37877094601103
2019-12-28,107.48700527004085
2019-12-29,103.59328847171552
2019-12-30,105.13011523397904
2019-12-31,108.10020226015841
2020-01-01,109.00065781254558
2020-01-02,110.70993705875529
2020-01-03,108.96153676704789
2020-01-04,106.67775315818193
2020-01-05,103.94034515874493
2020-01-06,105.90747696801618
2020-01-07,109.15452464532589
2020-01-08,113.12076589679134
2020-01-09,113.1529320072342
2020-01-10,113.51095958494446
2020-01-11,106.71671103296592
2020-01-12,107.74243572904884
2020-01-13,107.4770678752716
2020-01-14,113.02047045130941
2020-01-15,111.05638596408939
